Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Joe Wolf,,1.5,0.9,0.8,0.7,0.4,0.3,0.1,0,-0.2,-0.5,-0.5
Cartier Martin,61.1,1.3,0.8,0.7,0.7,0.4,0.1,-0.2,NA,NA,NA,NA
Reggie Slater,60.4,1.8,1.5,0.8,0.5,0.4,0.2,0.1,-0.1,NA,NA,NA
Pete Verhoeven,57.8,2.1,1.2,0.8,0.7,0.4,0,NA,NA,NA,NA,NA
Rafael Addison,57.7,1.5,1.5,0.9,0.4,0.4,0.2,NA,NA,NA,NA,NA
Anthony Randolph,56.7,1.6,1.5,1.1,0.6,0.5,0.5,NA,NA,NA,NA,NA
Henry Walker,56.6,1.9,1.1,0.9,0.5,0.5,NA,NA,NA,NA,NA,NA
Tony Brown,56.1,1.8,1.3,0.9,0.5,0.2,0.2,0,NA,NA,NA,NA
Gary Gregor,56.1,1.4,1.1,0.8,0.5,0.5,-0.4,NA,NA,NA,NA,NA
Julian Wright,55.4,1.7,0.8,0.8,0.6,NA,NA,NA,NA,NA,NA,NA
John Wallace,53.9,1.6,1.5,1,1,0.7,0.3,0.3,NA,NA,NA,NA
